"Type","Status","Campaign","Campaign Daily Budget","Campaign Type","Bid Strategy Type","Networks","Languages","Ad Group","Default Max CPC","Keyword","Match Type","Final URL","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Headline 13","Headline 14","Headline 15","Headline 1 position","Headline 2 position","Headline 3 position","Headline 4 position","Headline 5 position","Headline 6 position","Headline 7 position","Headline 8 position","Headline 9 position","Headline 10 position","Headline 11 position","Headline 12 position","Headline 13 position","Headline 14 position","Headline 15 position","Description 1","Description 2","Description 3","Description 4","Path 1","Path 2"
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","diy","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","home vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","jobs","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","careers","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","salary","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","login","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","portal","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","how to become a vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","vet school","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","veterinary school","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","vet tech","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","vet assistant","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","vet technician","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","wildlife vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","exotic vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","emergency vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","24 hour vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","overnight vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","vet hospital","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","snoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","joinsnoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","snootsvet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","free","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","diy","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","home vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","jobs","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","careers","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","salary","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","login","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","portal","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","how to become a vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","vet school","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","veterinary school","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","vet tech","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","vet assistant","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","vet technician","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","wildlife vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","exotic vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","emergency vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","24 hour vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","overnight vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","","","vet hospital","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","snoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","joinsnoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","snootsvet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","free","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","diy","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","home vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","jobs","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","careers","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","salary","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","login","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","portal","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","how to become a vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","vet school","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","veterinary school","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","vet tech","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","vet assistant","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","vet technician","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","wildlife vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","exotic vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","emergency vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","24 hour vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","overnight vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Local NJ Vet","","","","","","","","vet hospital","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","snoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","joinsnoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","snootsvet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","free","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","diy","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","home vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","jobs","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","careers","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","salary","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","login","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","portal","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","how to become a vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","vet school","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","veterinary school","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","vet tech","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","vet assistant","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","vet technician","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","wildlife vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","exotic vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","emergency vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","24 hour vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","overnight vet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Pet-Specific","","","","","","","","vet hospital","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
